,_c0,adversaire,avg_score_france,avg_score_adversaire,count_nb_match,max_france_penality,penalityfrance_moins_penalityadversaire,match,competition,adversaire,score_france,score_adversaire,penalty_france,penalty_adversaire,date,isDomicile
0,15,NA,,,3,1949,," Croates et Slovènes""",1,NA,NA,1926-06-14,1926,win,5,False
1,15,NA,,,3,1949,," Croates et Slovènes""",3,NA,NA,1929-05-19,1929,loss,5,False
2,15,NA,,,3,1949,,Yougoslavie,3,NA,NA,1949-12-11,1949,loss,9,False
3,16,Grèce,2.25,0.75,4,0,0.0,France - Grèce,Match amical,Grèce,5,1,0,0,1980-02-27,True
4,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,France - Pays-Bas,Match amical,Pays-Bas,0,0,0,0,1980-03-26,True
5,37,URSS- France,0.0,1.0,1,0,0.0,URSS- France,Match amical,URSS- France,0,1,0,0,1980-05-23,False
6,19,Chypre,3.375,0.25,8,0,0.0,Chypre - France,Qualifications pour la Coupe du monde 1982,Chypre,7,0,0,0,1980-10-11,True
7,59,Irlande,1.2222222222222223,0.5555555555555556,9,0,0.0,France - Irlande,Qualifications pour la Coupe du monde 1982,Irlande,2,0,0,0,1980-10-28,True
8,54,RFA,1.3333333333333333,2.0,6,4,-1.0,RFA - France,Match amical,RFA,1,4,0,0,1980-11-19,True
9,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,Espagne - France,Match amical,Espagne,0,1,0,0,1981-02-18,True
10,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,Pays-Bas - France,Qualifications pour la Coupe du monde 1982,Pays-Bas,0,1,0,0,1981-03-25,False
11,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,France - Belgique,Qualifications pour la Coupe du monde 1982,Belgique,3,2,0,0,1981-04-29,True
12,39,Brésil,1.0,1.2727272727272727,11,4,1.0,France - Brésil,Match amical,Brésil,1,3,0,0,1981-05-15,True
13,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,Belgique - France,Qualifications pour la Coupe du monde 1982,Belgique,0,2,0,0,1981-09-09,True
14,59,Irlande,1.2222222222222223,0.5555555555555556,9,0,0.0,Irlande - France,Qualifications pour la Coupe du monde 1982,Irlande,2,3,0,0,1981-10-14,True
15,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,France - Pays-Bas,Qualifications pour la Coupe du monde 1982,Pays-Bas,2,0,0,0,1981-11-18,True
16,19,Chypre,3.375,0.25,8,0,0.0,France - Chypre,Qualifications pour la Coupe du monde 1982,Chypre,4,0,0,0,1981-12-05,True
17,41,Italie,1.75,0.8333333333333334,12,3,-2.0,France - Italie,Match amical,Italie,2,0,0,0,1982-02-23,True
18,23,Irlande du Nord,1.8,0.2,5,0,0.0,France - Irlande du Nord,Match amical,Irlande du Nord,4,0,0,0,1982-03-24,True
19,61,Pérou,0.5,0.5,2,0,0.0,France - Pérou,Match amical,Pérou,0,1,0,0,1982-04-28,True
20,11,Bulgarie,1.25,1.0,8,0,0.0,France - Bulgarie,Match amical,Bulgarie,0,0,0,0,1982-05-15,True
21,72,Pays de Galles,1.0,0.5,2,0,0.0,France - Pays de Galles,Match amical,Pays de Galles,0,1,0,0,1982-06-02,True
22,5,Angleterre,1.1538461538461537,1.0769230769230769,13,0,0.0,Angleterre - France,Coupe du monde 1982 (Groupe 4),Angleterre,1,3,0,0,1982-06-16,True
23,84,Koweït,2.5,0.5,2,0,0.0,France - Koweït,Coupe du monde 1982 (Groupe 4),Koweït,4,1,0,0,1982-06-21,True
24,38,Tchécoslovaquie,1.5,1.0,4,0,0.0,France - Tchécoslovaquie,Coupe du monde 1982 (Groupe 4),Tchécoslovaquie,1,1,0,0,1982-06-24,True
25,6,Autriche,1.5,0.75,8,0,0.0,France - Autriche,Coupe du monde 1982 (Groupe 4 - Second tour),Autriche,1,0,0,0,1982-06-28,True
26,23,Irlande du Nord,1.8,0.2,5,0,0.0,France - Irlande du Nord,Coupe du monde 1982 (Groupe 4 - Second tour),Irlande du Nord,4,1,0,0,1982-07-04,True
27,54,RFA,1.3333333333333333,2.0,6,4,-1.0,RFA - France [6],Coupe du monde 1982 (Demi-finale),RFA,3,3,4,5,1982-07-08,True
28,26,Pologne,1.1111111111111112,1.0,9,0,0.0,Pologne - France,Coupe du monde 1982 (Petite finale),Pologne,2,3,0,0,1982-07-10,True
29,26,Pologne,1.1111111111111112,1.0,9,0,0.0,France - Pologne,Match amical,Pologne,0,4,0,0,1982-08-31,True
30,7,Hongrie,2.25,0.5,4,0,0.0,France - Hongrie,Match amical,Hongrie,1,0,0,0,1982-10-06,True
31,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,Pays-Bas - France,Match amical,Pays-Bas,2,1,0,0,1982-11-10,False
32,79,Portugal,2.1,0.7,10,0,0.0,Portugal - France,Match amical,Portugal,3,0,0,0,1983-02-16,True
33,53,URSS,0.75,1.25,4,0,0.0,France - URSS,Match amical,URSS,1,1,0,0,1983-03-23,True
34,57,Yougoslavie,1.5714285714285714,0.7142857142857143,7,0,0.0,France - Yougoslavie,Match amical,Yougoslavie,4,0,0,0,1983-04-23,True
35,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,Belgique - France[29],Match amical,Belgique,1,1,0,0,1983-05-31,True
36,74,Danemark,1.25,0.8333333333333334,12,0,0.0,Danemark - France,Match amical,Danemark,1,3,0,0,1983-09-07,True
37,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,France - Espagne,Match amical,Espagne,1,1,0,0,1983-10-05,True
38,57,Yougoslavie,1.5714285714285714,0.7142857142857143,7,0,0.0,Yougoslavie - France,Match amical,Yougoslavie,0,0,0,0,1983-11-12,True
39,5,Angleterre,1.1538461538461537,1.0769230769230769,13,0,0.0,France - Angleterre,Match amical,Angleterre,2,0,0,0,1984-02-29,True
40,6,Autriche,1.5,0.75,8,0,0.0,France - Autriche,Match amical,Autriche,1,0,0,0,1984-03-28,True
41,54,RFA,1.3333333333333333,2.0,6,4,-1.0,France - RFA,Match amical,RFA,1,0,0,0,1984-04-18,True
42,30,Écosse,1.8888888888888888,0.5555555555555556,9,0,0.0,France - Écosse,Match amical,Écosse,2,0,0,0,1984-06-01,True
43,74,Danemark,1.25,0.8333333333333334,12,0,0.0,France - Danemark,Euro 1984 (Groupe A),Danemark,1,0,0,0,1984-06-12,True
44,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,France - Belgique,Euro 1984 (Groupe A),Belgique,5,0,0,0,1984-06-16,True
45,57,Yougoslavie,1.5714285714285714,0.7142857142857143,7,0,0.0,France - Yougoslavie,Euro 1984 (Groupe A),Yougoslavie,3,2,0,0,1984-06-19,True
46,79,Portugal,2.1,0.7,10,0,0.0,France - Portugal,Euro 1984 (Demi-finale),Portugal,3,2,0,0,1984-06-23,True
47,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,France - Espagne,Euro 1984 (Finale),Espagne,2,0,0,0,1984-06-27,True
48,73,Luxembourg,2.8333333333333335,0.16666666666666666,6,0,0.0,Luxembourg - France,Qualifications pour la Coupe du monde 1986,Luxembourg,4,0,0,0,1984-10-13,True
49,11,Bulgarie,1.25,1.0,8,0,0.0,France - Bulgarie,Qualifications pour la Coupe du monde 1986,Bulgarie,1,0,0,0,1984-11-21,True
50,3,RDA,1.0,0.6,5,0,0.0,France - RDA,Qualifications pour la Coupe du monde 1986,RDA,2,0,0,0,1984-12-08,True
51,57,Yougoslavie,1.5714285714285714,0.7142857142857143,7,0,0.0,Yougoslavie - France,Qualifications pour la Coupe du monde 1986,Yougoslavie,0,0,0,0,1985-04-03,True
52,11,Bulgarie,1.25,1.0,8,0,0.0,Bulgarie - France,Qualifications pour la Coupe du monde 1986,Bulgarie,0,2,0,0,1985-05-02,True
53,48,Uruguay,0.3333333333333333,0.16666666666666666,6,0,0.0,France - Uruguay,Coupe intercontinentale 1985,Uruguay,2,0,0,0,1985-08-21,True
54,3,RDA,1.0,0.6,5,0,0.0,RDA - France,Qualifications pour la Coupe du monde 1986,RDA,0,2,0,0,1985-09-11,True
55,73,Luxembourg,2.8333333333333335,0.16666666666666666,6,0,0.0,France - Luxembourg,Qualifications pour la Coupe du monde 1986,Luxembourg,6,0,0,0,1985-10-30,True
56,57,Yougoslavie,1.5714285714285714,0.7142857142857143,7,0,0.0,France - Yougoslavie,Qualifications pour la Coupe du monde 1986,Yougoslavie,2,0,0,0,1985-11-16,True
57,23,Irlande du Nord,1.8,0.2,5,0,0.0,France - Irlande du Nord,Match amical,Irlande du Nord,0,0,0,0,1986-02-26,True
58,29,Argentine,0.6666666666666666,1.0,3,0,0.0,France - Argentine,Match amical,Argentine,2,0,0,0,1986-03-26,True
59,65,Canada,1.0,0.0,1,0,0.0,France - Canada,Coupe du monde 1986 (Groupe C),Canada,1,0,0,0,1986-06-01,True
60,53,URSS,0.75,1.25,4,0,0.0,France - URSS,Coupe du monde 1986 (Groupe C),URSS,1,1,0,0,1986-06-05,True
61,7,Hongrie,2.25,0.5,4,0,0.0,France - Hongrie,Coupe du monde 1986 (Groupe C),Hongrie,3,0,0,0,1986-06-09,True
62,41,Italie,1.75,0.8333333333333334,12,3,-2.0,France - Italie,Coupe du monde 1986 (Huitième de finale),Italie,2,0,0,0,1986-06-17,True
63,39,Brésil,1.0,1.2727272727272727,11,4,1.0,Brésil - France,Coupe du monde 1986 (Quart de finale),Brésil,1,1,4,3,1986-06-21,True
64,54,RFA,1.3333333333333333,2.0,6,4,-1.0,France - RFA,Coupe du monde 1986 (Demi-finale),RFA,0,2,0,0,1986-06-25,True
65,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,France - Belgique,Coupe du monde 1986 (Petite finale),Belgique,4,2,0,0,1986-06-28,True
66,24,Suisse,1.4,0.9,10,0,0.0,Suisse - France,Match amical,Suisse,0,2,0,0,1986-08-19,True
67,8,Islande,2.375,1.125,8,0,0.0,Islande - France,Qualifications pour l'Euro 1988,Islande,0,0,0,0,1986-09-10,True
68,53,URSS,0.75,1.25,4,0,0.0,France - URSS,Qualifications pour l'Euro 1988,URSS,0,2,0,0,1986-10-11,True
69,3,RDA,1.0,0.6,5,0,0.0,RDA - France,Qualifications pour l'Euro 1988,RDA,0,0,0,0,1986-11-19,True
70,8,Islande,2.375,1.125,8,0,0.0,France - Islande,Qualifications pour l'Euro 1988,Islande,2,0,0,0,1987-04-29,True
71,81,Norvège,1.375,1.125,8,0,0.0,Norvège - France,Qualifications pour l'Euro 1988,Norvège,0,2,0,0,1987-06-16,True
72,54,RFA,1.3333333333333333,2.0,6,4,-1.0,RFA - France,Match amical,RFA,1,2,0,0,1987-08-12,True
73,53,URSS,0.75,1.25,4,0,0.0,URSS - France,Qualifications pour l'Euro 1988,URSS,1,1,0,0,1987-09-09,True
74,81,Norvège,1.375,1.125,8,0,0.0,France - Norvège,Qualifications pour l'Euro 1988,Norvège,1,1,0,0,1987-10-14,True
75,3,RDA,1.0,0.6,5,0,0.0,France - RDA,Qualifications pour l'Euro 1988,RDA,0,1,0,0,1987-11-18,True
76,42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0,Israël - France,Match amical,Israël,1,1,0,0,1988-01-27,True
77,24,Suisse,1.4,0.9,10,0,0.0,France - Suisse,Tournoi de France 1988 (amical),Suisse,2,1,0,0,1988-02-02,True
78,58,Maroc,2.4,1.2,5,5,-1.0,France - Maroc,Tournoi de France 1988 (amical),Maroc,2,1,0,0,1988-02-05,True
79,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,France - Espagne,Match amical,Espagne,2,1,0,0,1988-03-23,True
80,23,Irlande du Nord,1.8,0.2,5,0,0.0,Irlande du Nord - France,Match amical,Irlande du Nord,0,0,0,0,1988-04-27,False
81,38,Tchécoslovaquie,1.5,1.0,4,0,0.0,France - Tchécoslovaquie,Match amical,Tchécoslovaquie,1,1,0,0,1988-08-24,True
82,81,Norvège,1.375,1.125,8,0,0.0,France - Norvège,Qualifications pour la Coupe du monde 1990,Norvège,1,0,0,0,1988-09-28,True
83,19,Chypre,3.375,0.25,8,0,0.0,Chypre - France,Qualifications pour la Coupe du monde 1990,Chypre,1,1,0,0,1988-10-22,True
84,57,Yougoslavie,1.5714285714285714,0.7142857142857143,7,0,0.0,Yougoslavie - France,Qualifications pour la Coupe du monde 1990,Yougoslavie,2,3,0,0,1988-11-19,True
85,59,Irlande,1.2222222222222223,0.5555555555555556,9,0,0.0,Irlande - France,Match amical,Irlande,0,0,0,0,1989-02-07,True
86,30,Écosse,1.8888888888888888,0.5555555555555556,9,0,0.0,Écosse - France,Qualifications pour la Coupe du monde 1990,Écosse,0,2,0,0,1989-03-08,True
87,57,Yougoslavie,1.5714285714285714,0.7142857142857143,7,0,0.0,France - Yougoslavie,Qualifications pour la Coupe du monde 1990,Yougoslavie,0,0,0,0,1989-04-29,True
88,60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0,Suède - France,Match amical,Suède,4,2,0,0,1989-08-16,True
89,81,Norvège,1.375,1.125,8,0,0.0,Norvège - France,Qualifications pour la Coupe du monde 1990,Norvège,1,1,0,0,1989-09-05,True
90,30,Écosse,1.8888888888888888,0.5555555555555556,9,0,0.0,France - Écosse,Qualifications pour la Coupe du monde 1990,Écosse,3,0,0,0,1989-10-11,True
91,19,Chypre,3.375,0.25,8,0,0.0,France - Chypre,Qualifications pour la Coupe du monde 1990,Chypre,2,0,0,0,1989-11-18,True
92,84,Koweït,2.5,0.5,2,0,0.0,Koweït - France,Tournoi du Koweït 1990 (amical),Koweït,1,0,0,0,1990-01-21,True
93,3,RDA,1.0,0.6,5,0,0.0,France - RDA,Tournoi du Koweït 1990 (amical),RDA,3,0,0,0,1990-01-24,True
94,54,RFA,1.3333333333333333,2.0,6,4,-1.0,France - RFA,Match amical,RFA,2,1,0,0,1990-02-28,True
95,7,Hongrie,2.25,0.5,4,0,0.0,Hongrie - France,Match amical,Hongrie,3,1,0,0,1990-03-28,True
96,26,Pologne,1.1111111111111112,1.0,9,0,0.0,France - Pologne,Match amical,Pologne,0,0,0,0,1990-08-15,True
97,8,Islande,2.375,1.125,8,0,0.0,Islande - France,Qualifications pour l'Euro 1992,Islande,2,1,0,0,1990-09-05,True
98,38,Tchécoslovaquie,1.5,1.0,4,0,0.0,France - Tchécoslovaquie,Qualifications pour l'Euro 1992,Tchécoslovaquie,2,1,0,0,1990-10-13,True
99,21,Albanie,2.0,0.42857142857142855,7,0,0.0,Albanie - France,Qualifications pour l'Euro 1992,Albanie,1,0,0,0,1990-11-17,True
100,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,France - Espagne,Qualifications pour l'Euro 1992,Espagne,3,1,0,0,1991-02-20,True
101,21,Albanie,2.0,0.42857142857142855,7,0,0.0,France - Albanie,Qualifications pour l'Euro 1992,Albanie,5,0,0,0,1991-03-30,True
102,26,Pologne,1.1111111111111112,1.0,9,0,0.0,Pologne - France,Match amical,Pologne,5,1,0,0,1991-08-14,True
103,38,Tchécoslovaquie,1.5,1.0,4,0,0.0,Tchécoslovaquie - France,Qualifications pour l'Euro 1992,Tchécoslovaquie,2,1,0,0,1991-09-04,True
104,17,Espagne,1.1111111111111112,1.0555555555555556,18,0,0.0,Espagne - France,Qualifications pour l'Euro 1992,Espagne,2,1,0,0,1991-10-12,True
105,8,Islande,2.375,1.125,8,0,0.0,France - Islande,Qualifications pour l'Euro 1992,Islande,3,1,0,0,1991-11-20,True
106,5,Angleterre,1.1538461538461537,1.0769230769230769,13,0,0.0,Angleterre - France,Match amical,Angleterre,0,2,0,0,1992-02-19,True
107,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,France - Belgique,Match amical,Belgique,3,3,0,0,1992-03-25,True
108,24,Suisse,1.4,0.9,10,0,0.0,Suisse - France,Match amical,Suisse,1,2,0,0,1992-05-27,True
109,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,France - Pays-Bas,Match amical,Pays-Bas,1,1,0,0,1992-06-05,True
110,60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0,Suède - France,Euro 1992 (Groupe A),Suède,1,1,0,0,1992-06-10,True
111,5,Angleterre,1.1538461538461537,1.0769230769230769,13,0,0.0,Angleterre - France,Euro 1992 (Groupe A),Angleterre,0,0,0,0,1992-06-14,True
112,74,Danemark,1.25,0.8333333333333334,12,0,0.0,Danemark - France,Euro 1992 (Groupe A),Danemark,1,2,0,0,1992-06-17,True
113,39,Brésil,1.0,1.2727272727272727,11,4,1.0,France - Brésil,Match amical,Brésil,0,2,0,0,1992-08-26,True
114,11,Bulgarie,1.25,1.0,8,0,0.0,Bulgarie - France,Qualifications pour la Coupe du monde 1994,Bulgarie,0,2,0,0,1992-09-09,True
115,6,Autriche,1.5,0.75,8,0,0.0,France - Autriche,Qualifications pour la Coupe du monde 1994,Autriche,2,0,0,0,1992-10-14,True
116,10,Finlande,1.8333333333333333,0.16666666666666666,6,0,0.0,France - Finlande,Qualifications pour la Coupe du monde 1994,Finlande,2,1,0,0,1992-11-14,True
117,42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0,Israël - France,Qualifications pour la Coupe du monde 1994,Israël,4,0,0,0,1993-02-17,True
118,6,Autriche,1.5,0.75,8,0,0.0,Autriche - France,Qualifications pour la Coupe du monde 1994,Autriche,1,0,0,0,1993-03-27,True
119,60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0,France - Suède,Qualifications pour la Coupe du monde 1994,Suède,2,1,0,0,1993-04-28,True
120,20,Colombie,1.25,1.5,4,0,0.0,France - Colombie,Match amical (Inauguration du Stade de Dillon),Colombie,1,3,0,0,1993-06-16,True
121,12,Russie,2.142857142857143,1.4285714285714286,7,0,0.0,France - Russie,Match amical,Russie,3,1,0,0,1993-07-28,True
122,60,Suède,1.4166666666666667,1.0833333333333333,12,0,0.0,Suède - France,Qualifications pour la Coupe du monde 1994,Suède,1,1,0,0,1993-08-22,True
123,10,Finlande,1.8333333333333333,0.16666666666666666,6,0,0.0,Finlande - France,Qualifications pour la Coupe du monde 1994,Finlande,2,0,0,0,1993-09-08,True
124,42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0,France - Israël,Qualifications pour la Coupe du monde 1994,Israël,2,3,0,0,1993-10-13,True
125,11,Bulgarie,1.25,1.0,8,0,0.0,France - Bulgarie,Qualifications pour la Coupe du monde 1994,Bulgarie,1,2,0,0,1993-11-17,True
126,41,Italie,1.75,0.8333333333333334,12,3,-2.0,Italie - France,Match amical,Italie,1,0,0,0,1994-02-16,True
127,46,Chili,1.6666666666666667,1.3333333333333333,3,0,0.0,France - Chili,Match amical,Chili,3,1,0,0,1994-03-22,True
128,45,Australie,2.5,0.5,4,0,0.0,France - Australie,Coupe Kirin 1994 (Amical),Australie,1,0,0,0,1994-05-26,True
129,50,Japon,2.3333333333333335,0.8333333333333334,6,4,2.0,Japon - France,Coupe Kirin 1994 (Amical),Japon,4,1,0,0,1994-05-29,True
130,85,Rép. tchèque,1.0,1.25,4,5,-1.0,France - Rép. tchèque,Match amical,Rép. tchèque,2,2,0,0,1994-08-17,True
131,52,Slovaquie,1.5,0.5,4,0,0.0,Slovaquie - France,Qualifications pour l'Euro 1996,Slovaquie,0,0,0,0,1994-09-07,True
132,14,Roumanie,1.3,0.6,10,0,0.0,France - Roumanie,Qualifications pour l'Euro 1996,Roumanie,0,0,0,0,1994-10-08,True
133,26,Pologne,1.1111111111111112,1.0,9,0,0.0,Pologne - France,Qualifications pour l'Euro 1996,Pologne,0,0,0,0,1994-11-06,True
134,83,Azerbaïdjan,6.0,5.0,2,0,0.0,Azerbaïdjan - France,Qualifications pour l'Euro 1996,Azerbaïdjan,2,0,0,0,1994-12-13,True
135,62,Pays-Bas,1.4,0.8666666666666667,15,5,1.0,Pays-Bas - France,Match amical,Pays-Bas,1,0,0,0,1995-01-10,False
136,42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0,Israël - France,Qualifications pour l'Euro 1996,Israël,0,0,0,0,1995-03-29,True
137,52,Slovaquie,1.5,0.5,4,0,0.0,France- Slovaquie,Qualifications pour l'Euro 1996,Slovaquie,4,0,0,0,1995-04-26,True
138,81,Norvège,1.375,1.125,8,0,0.0,Norvège - France,Match amical,Norvège,0,0,0,0,1995-07-22,True
139,26,Pologne,1.1111111111111112,1.0,9,0,0.0,France - Pologne,Qualifications pour l'Euro 1996,Pologne,1,1,0,0,1995-08-16,True
140,83,Azerbaïdjan,6.0,5.0,2,0,0.0,France - Azerbaïdjan,Qualifications pour l'Euro 1996,Azerbaïdjan,10,10,0,0,1995-09-06,True
141,14,Roumanie,1.3,0.6,10,0,0.0,Roumanie - France,Qualifications pour l'Euro 1996,Roumanie,3,1,0,0,1995-10-11,True
142,42,Israël,1.6666666666666667,0.6666666666666666,9,0,0.0,France - Israël,Qualifications pour l'Euro 1996,Israël,2,0,0,0,1995-11-15,True
143,79,Portugal,2.1,0.7,10,0,0.0,France - Portugal,Match amical,Portugal,3,2,0,0,1996-01-24,True
144,16,Grèce,2.25,0.75,4,0,0.0,France - Grèce,Match amical,Grèce,3,1,0,0,1996-02-21,True
145,68,Belgique,1.9230769230769231,1.2307692307692308,13,0,0.0,Belgique - France,Match amical,Belgique,2,0,0,0,1996-03-27,True
